축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2025 화학산 고산 철쭉제,청풍면 복지회관,2025-05-03,2025-05-03,화학산 기원제+철쭉제 기념식+공연,청풍면 청년회,청풍면 청년회,,061-379-5043,,,전라남도 화순군 청풍면 곰치로 1510-25,전라남도 화순군 청풍면 이만리 255,34.851309,126.941454,2025-06-26,4900000,전라남도 화순군
화순 남산공원 로컬힙 프로젝트,남산공원 일원,2025-06-28,2025-08-30,문화예술교육 관련 체험+문화 프로그램+공연 및 행사 등,(재)화순군문화관광재단,(재)화순군문화관광재단,,070-8839-6145,,,전라남도 화순군 능주면 죽수길 73,전라남도 화순군 능주면 석고리 254-1,34.990145,126.957912,2025-06-26,4900000,전라남도 화순군
화순적벽문화축제,화순적벽 일원,2025-10-11,2025-10-11,걸어서 만나는 적벽+공연+체험 프로그램등,(재)화순군문화관광재단,(재)화순군문화관광재단,,061-373-5482,,,전라남도 화순군 능주면 죽수길 73,전라남도 화순군 능주면 석고리 254-1,34.990145,126.957912,2025-06-26,4900000,전라남도 화순군
2025 화순 고인돌 가을꽃 축제,화순 고인돌 유적지 일원,2025-10-17,2025-11-02,공연+전시+체험+먹거리부스 운영 등,전라남도 화순군,전라남도 화순군,,061-379-3575,화순군축제포털,,전라남도 화순군 화순읍 동헌길 23,전라남도 화순군 화순읍 훈리 35,35.06454,126.986532,2025-06-26,4900000,전라남도 화순군
2025 목포항구축제,목포항 및 삼학도 일원,2025-09-26,2025-09-28,파시장터+공연+체험 등,전라남도 목포시,목포시축제추진위원회,문화체육관광부+전라남도청+한국관광공사,061-270-8441,https://www.mokpo.go.kr/tour/festival,,전라남도 목포시 삼학로92번길 6,,,,2025-06-25,4800000,전라남도 목포시
2025 유달산 봄축제,유달산 및 노적봉 일대,2025-04-05,2025-04-06,퍼레이드+유달산 봄꽃 및 수군문화 콘텐츠 등,전라남도 목포시,목포시축제추진위원회,문화체육관광부+전라남도청+한국관광공사,061-270-8432,https://www.mokpo.go.kr/tour/festival/yudalsan_spring,,전라남도 목포시 대의동2가,,,,2025-06-25,4800000,전라남도 목포시
2025 전주 얼티밋 뮤직 페스티벌,전북대학교 대운동장,2025-08-15,2025-08-17,다양한 장르의 음악을 폭넓게 선보이는 대규모 음악 축제,전주문화방송㈜,전북특별자치도+전북특별자치도 전주시,,,https://www.jumf.co.kr/,전주얼티밋뮤직페스티벌+한옥마을+객사+전북대학교,전북특별자치도 전주시 덕진구 백제대로 567,전북특별자치도 전주시 덕진구 금암동 663,35.84114301,127.1315892,2025-05-12,4641000,전북특별자치도 전주시
제26회 전주국제영화제,영화의거리 외 전주시 일원,2025-04-30,2025-05-09,"국내외 대안·독립영화 및 유망한 신진 작가를 발굴, 소개하는 플랫폼으로서의 영화제",전주국제영화제 집행위원회,전주국제영화제 조직위원회,문화체육관광부+전북특별자치도+전북특별자치도 전주시+영화진흥위원회,063-288-5433,https://www.jeonjufest.kr,전주국제영화제+영화의거리+객사+한옥마을,전북특별자치도 전주시 완산구 전주객사3길 22,전북특별자치도 전주시 완산구 고사동 431-1,35.81835648,127.1427152,2025-05-12,4641000,전북특별자치도 전주시
황룡강 가을꽃축제,황룡강변 일원,2025-10-18,2025-10-26,공연+체험+판매행사 등,전라남도 장성군축제위원회,전라남도 장성군청,,061-390-7252,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_04,,,전라남도 장성군 장성읍 기산리 461-1,35.3095105,126.781506,2025-05-28,4980000,전라남도 장성군
황룡강 (洪)길동무 꽃길 축제,황룡강변 일원,2025-05-10,2025-05-09,공연+체험+판매행사 등,전라남도 장성군축제위원회,전라남도 장성군청,,061-390-7252,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_02,,,전라남도 장성군 장성읍 기산리 461-1,35.3095105,126.781506,2025-05-28,4980000,전라남도 장성군
백양사 고불매 선매향 축제,백양사 일원,2025-03-29,2025-03-30,공연+체험+판매행사 등,대한불교조계종 백암산 백양사,전라남도 장성군청,,061-390-7241,,,,전라남도 장성군 북하면 약수리 123,35.4357819,126.8830392,2025-05-28,4980000,전라남도 장성군
백양사 산사음악회,백양사 일원,2025-10-01,2025-10-01,공연+체험+판매행사 등,대한불교조계종 백암산 백양사,전라남도 장성군청,,061-390-7241,,,,전라남도 장성군 북하면 약수리 123,35.4357819,126.8830392,2025-05-28,4980000,전라남도 장성군
장성 어울림음악회,삼계면 상무평화공원 일대,2025-08-01,2025-08-01,공연+체험+판매행사 등,전라남도 장성군청,전라남도 장성군청,,061-390-7241,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_02,,,전라남도 장성군 삼계면 주산리 626-28,35.2499069,126.670709,2025-05-28,4980000,전라남도 장성군
삼계면 민관군 화합 전통문화체험 축제,삼계면 택지지구 일대,2025-02-11,2025-02-11,공연+체험+판매행사 등,삼계면 청년회,장성군 삼계면 행정복지센터,,061-390-6963,,,,전라남도 장성군 삼계면 주산리 751-1,35.2525075,126.6715022,2025-05-28,4980000,전라남도 장성군
황룡면 뱃나드리 축제,황룡강변 일대,2025-04-26,2025-04-27,공연+체험+판매행사 등,황룡면 뱃나드리 축제 추진위원회,장성군 황룡면 행정복지센터,,061-390-6991,,,,전라남도 장성군 황룡면 장산리 1-60,35.292138,126.7690404,2025-05-28,4980000,전라남도 장성군
북쪽하늘아래 산나물축제,북하면 약수중학교 일대,2025-04-26,2025-04-27,공연+체험+판매행사 등,북하면 축제추진위원회,장성군 북하면 행정복지센터,,061-390-7971,,,전라남도 장성군 북하면 약수2길 11,,35.4069876,126.8807509,2025-05-28,4980000,전라남도 장성군
동화면 동화나라 버베나 축제,램프공원일대(남평리 260-8),2025-06-28,2025-06-28,공연+체험+판매행사 등,동화면 주민자치회,장성군 동화면 행정복지센터,,061-390-7240,,,,전라남도 장성군 동화면 남평리 260-8,35.279559,126.727381,2025-05-28,4980000,전라남도 장성군
서삼면 축령산 편백숲자락축제,축령산 일대,2025-09-06,2025-09-07,공연+체험+판매행사 등,서삼면 축제 추진위원회,장성군 서삼면 행정복지센터,,061-390-7882,,,,전라남도 장성군 서삼면 모암리 686-29,35.370776,126.747372,2025-05-28,4980000,전라남도 장성군
북이면 삼남대로 거리예술한마당,북이면 사거리 전통시장 일대,2025-10-01,2025-10-01,공연+체험+판매행사 등,북이면 축제 추진위원회,장성군 북이면 행정복지센터,,061-390-7941,,,,전라남도 장성군 북이면 사거리 697-2,35.427472,126.806962,2025-05-28,4980000,전라남도 장성군
삼서 잔디문화 축제,삼서면 장성잔디로 야영장 일대,2025-09-20,2025-09-20,공연+체험+판매행사 등,장성잔디생산자영농조합법인,장성군 삼서면 행정복지센터,,061-390-6933,,,,전라남도 장성군 삼서면 수양리 666-1,35.2406141,126.6612029,2025-05-28,4980000,전라남도 장성군
장성읍 영천 막걸리 축재,장성읍 행정복지센터 일대,2025-10-01,2025-10-01,공연+체험+판매행사 등,장성읍 축제추진위원회,장성군 장성읍 행정복지센터,,061-390-6801,,,,전라남도 장성군 장성읍 영천리 1105-1,35.3031968,126.785215,2025-05-28,4980000,전라남도 장성군
꽃과 함께하는 우리쌀 페스티벌,남면중학교 일대,2025-10-01,2025-10-01,공연+체험+판매행사 등,남면 축제추진위원회,장성군 남면 행정복지센터,,061-390-6872,,,,전라남도 장성군 남면 분향리 335,35.2439131,126.8109517,2025-05-28,4980000,전라남도 장성군
북일면 효사랑 축제,북일면 다목적센터(건설 중),2025-11-01,2025-11-01,공연+체험+판매행사 등,한국쌀전업농 장성군연합회 남면지회,장성군 북일면 행정복지센터,,061-390-7911,,,전라남도 장성군 북일면 북부1길 2,,35.3747528,126.8073308,2025-05-28,4980000,전라남도 장성군
순창장류축제,순창고추장민속마을 및 발효테마파크 내,2025-10-17,2025-10-19,공연+DJ&EDM 불빛쇼+지역민이 꾸미는 문화공연+순창고추장 임금님 진상행렬+발효나라 1997++장류음악회+농악경연대회 등,순창장류축제위원회,전북특별자치도 순창군,문화체육관광부+전북특별자치도청+한국관광공사,063-650-1624,http://www.jangfestival.co.kr,강천산군립공원+전통고추장민속마을,전북특별자치도 순창군 순창읍 민속마을길 6-3,전북특별자치도 순창군 순창읍 백산리 265-4,35.36859964,127.1099792,2025-05-25,B551011,한국관광공사
임실N치즈축제,임실치즈테마파크+임실치즈마을+임실읍 일원,2025-10-08,2025-10-12,임실N치즈 쭉쭉늘려 내치즈 만들기+디저트 퐁뒤체험+대형 쌀피자 등,임실N치즈축제 제전위원회,임실N치즈축제 제전위원회,문화체육관광부+농림축산식품부+교육부+한국관광공사+전북특별자치도청+전북특별자치도 임실군청,063-643-3900,www.imsilfestival.com,,전북특별자치도 임실군 성수면 도인2길 50(성수면),전북특별자치도 임실군 성수면 도인리 689,35.63310203,127.3012578,2025-05-25,B551011,한국관광공사
장수 한우랑 사과랑 축제,의암공원+누리파크 일원,2025-09-18,2025-09-21,장수한우마당+레드푸드 존+레드푸드 전국가족요리대전+향우인의 밤 행사+트레일 레이스 시즌2+황금사과를 찾아라+낙화놀이 등,사)장수한우랑사과랑축제추진위원회,사)장수한우랑사과랑축제추진위원회,전북특별자치도청,063-350-2355,https://www.jangsufestival.com/,,전북특별자치도 장수군 장수읍 한누리로 393,전북특별자치도 장수군 장수읍 두산리 474,35.64111383,127.5181103,2025-05-25,B551011,한국관광공사
정남진 장흥 물축제,탐진강+편백숲우드랜드,2025-07-26,2025-08-03,장흥 Rock 페스티벌+살수대첩 거리 퍼레이드+지상 최대의 물싸움+황금물고기(대왕장어)를 잡아라+글로벌 워터월드(워터樂 풀파티)+수중줄다리기 등,정남진 장흥 물축제 추진위원회,전라남도 장흥군,문화체육관광부+전라남도청+한국관광공사+한국수자원공사(전남 서남권지사),061-860-5771,https://www.jangheung.go.kr/festival,,전라남도 장흥군 장흥읍 칠거리예양로 83,전라남도 장흥군 장흥읍 기양리 110,34.6797548,126.9026667,2025-05-25,B551011,한국관광공사
진도신비의바닷길축제,진도군청소년수련원 앞,2025-03-29,2025-04-01,신비의바닷길체험+진도무형문화재 공연 및 체험+신비의도자기만들기+컬러풀진도등,진도군축제추진위원회,전라남도 진도군,,061-540-3408,https://www.jindo.go.kr/tour/sub.cs?m=99,,전라남도 진도군 고군면 신비의바닷길 74,전라남도 진도군 고군면 금계리 153-1,34.43275415,126.3518288,2025-05-25,B551011,한국관광공사
진안홍삼축제,마이산 북부일원,2025-09-26,2025-09-28,세계최대홍삼칵테일쇼+개막주제공연-불꽃놀이+별별소원행진 등,진안홍삼축제추진위원회,전북특별자치도 진안군,문화체육관광부+전북특별자치도청,063-430-2393,https://www.jinan.go.kr/festival/,,전북특별자치도 진안군 진안읍 마이산로 160,전북특별자치도 진안군 진안읍 단양리 778-3,35.77322296,127.4162559,2025-05-25,B551011,한국관광공사
2025 전주국제한지산업대전,한국전통문화전당+전주천년한지관,2025-10-02,2025-10-04,"우리 종이 한지의 우수성을 알리고, 한지를 체험하고 소통하며 공감하는 문화의 장",(재)한국전통문화전당,전북특별자치도 전주시,문화체육관광부+전북특별자치도+전북특별자치도 전주시(청),063-281-1573,https://jjhanji.or.kr,한지산업지원센터+한옥마을+객사+전주페스타 2025,전북특별자치도 전주시 완산구 현무1길 20,전북특별자치도 전주시 완산구 경원동3가 14-2,35.82056782,127.1482358,2025-05-12,4641000,전북특별자치도 전주시
2025 전주세계소리축제,한국소리문화의전당+전주한옥마을,2025-08-13,2025-08-17,판소리와 전통음악을 중심으로 월드뮤직과 다양한 장르의 음악을 아우르는 글로벌 음악축제,전주세계소리축제조직위원회,전북특별자치도+전주세계소리축제조직위원회,전북특별자치도+전주세계소리축제조직위원회,063-232-8398,https://www.sorifestival.com/,전주세계소리축제+한옥마을+객사,전북특별자치도 전주시 덕진구 소리로 31,전북특별자치도 전주시 덕진구 덕진동1가 88-4,35.85470001,127.1393023,2025-05-12,4641000,전북특별자치도 전주시
광양전통숯불구이축제,광양읍 서천변 일원,2025-10-01,2025-10-01,공연+경연+체험+전시+판매+부대행사,광양전통숯불구이축제추진위원회,광양전통숯불구이축제추진위원회,전라남도 광양시,061-797-4903,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 광양읍 남등길 6,전라남도 광양시 광양읍 칠성리 946,34.9733415,127.5810489,2025-06-20,4840000,전라남도 광양시
광양 K-POP 페스티벌,광양공설운동장 일원,2025-10-01,2025-10-01,공연+체험+부대행사,전라남도 광양시청,전라남도 광양시,전라남도 광양시,061-797-3714,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 광양읍 매천로 695-20,전라남도 광양시 광양읍 구산리 299,34.98292286,127.5754151,2025-06-20,4840000,전라남도 광양시
익산서동축제,금마면 서동공원,2025-05-03,2025-05-06,무왕제례+유등전시+개막행사+공연+전시+체험,(재)익산문화관광재단,전북특별자치도 익산시청,전북특별자치도,063-859-5826,https://seodong.iksan.go.kr/,미륵사지 왕복 셔틀버스 운영,전북특별자치도 익산시 금마면 고도9길 41-14,전북특별자치도 익산시 금마면 동고도리 526,36.00153176,127.0570709,2025-06-24,4681000,전북특별자치도 익산시
익산천만송이국화축제,익산중앙체육공원,2025-10-24,2025-11-02,국화조형물 및 작품 전시+로컬푸드 판매+체험+공연+이벤트,익산시농업기술센터,전북특별자치도 익산시청,,063-859-4977,https://www.iksan.go.kr/gukhwa/,,전북특별자치도 익산시 하나로 322,전북특별자치도 익산시 어양동 52,35.94973086,126.9861275,2025-06-24,4681000,전북특별자치도 익산시
익산문화유산야행,익산 왕궁리유적,2025-04-18,2025-04-20,문화유산을 활용한 다양한 체험+전시+공연,전북특별자치도 익산시청,문화재청+전북특별자치도 익산시청,,063-859-5793,http://iksan-night.kr/,,전북특별자치도 익산시 왕궁면 궁성로 666,전북특별자치도 익산시 왕궁면 왕궁리 562,35.97155978,127.0558096,2025-06-24,4681000,전북특별자치도 익산시
익산주얼팰리스보석대축제,익산 주얼팰리스,2025-04-02,2025-04-13,"30 특별할인행사(24K, 다이아몬드 제외)+주얼리 특별전시+보석 리세팅+보석 체험코너+보석 가공 시연+보석산업 사진 기록전 등",(사)주얼팰리스협의회,(사)주얼팰리스협의회,전북특별자치도+전북특별자치도 익산시청,063-834-5100,http://www.iksanjewelpalace.com/,,"전북특별자치도 익산시 왕궁면 호반로 8, 주얼팰리스",전북특별자치도 익산시 왕궁면 동용리 544-5,35.99061279,127.1025486,2025-06-24,4681000,전북특별자치도 익산시
2025 나주영산강축제,영산강 정원(강변 저류지 일원),2025-10-08,2025-10-12,영산강을 주제로 한 대표축제,나주영산강축제추진위원회,전라남도 나주시청,전라남도 나주시청,061-339-8594,http://www.naju.go.kr/tour/,영산강정원+영산포 홍어거리+영산강 황포돛배,전라남도 나주시 영산강정원길 47,전라남도 나주시 영산동 757-1,35.0023191,126.7235878,2025-05-30,4830000,전라남도 나주시
제21회 영산포 홍어·한우 축제,영산강 둔치 체육공원,2025-05-23,2025-05-25,나주 특산품인 홍어와 한우를 이용한 지역경제 활성화 축제,영산포홍어한우축제추진위원회,전라남도 나주시청,전라남도 나주시청,061-339-8723,http://www.naju.go.kr/tour/,영산포 홍어거리+영산강 황포돛배,전라남도 나주시 삼영1길 9-42,전라남도 나주시 삼영동 117-6,35.0012016,126.7054985,2025-05-30,4830000,전라남도 나주시
제5회 천년나주목읍성문화축제,정수루 및 망화루 일원,2025-04-04,2025-04-06,나주의 읍성문화를 이용한 역사 문화 축제,천년나주목읍성문화축제추진위원회,전라남도 나주시청,전라남도 나주시청,061-339-8723,http://www.naju.go.kr/tour/,금성관+정수루+서성문 등 나주읍성권 일원,전라남도 나주시 금성관길 8,전라남도 나주시 과원동 109-5,35.0330922,126.7167028,2025-05-30,4830000,전라남도 나주시
곡성심청어린이대축제,섬진강기차마을,2025-10-23,2025-10-26,어린이 중심 콘텐츠로 캐릭터 공연과 가족형 이벤트 개최,전라남도 곡성군청,전라남도 곡성군청,,061-360-8471,www.gokseong.go.kr,,전라남도 곡성군 오곡면 기차마을로 233,전라남도 곡성군 오곡면 오지리 770-5,,,2025-07-01,4860000,전라남도 곡성군
황산 연호보리축제,해남군 황산면 연호길 73,2025-05-25,2025-05-25,풍년기원제+뮤직락페스티벌+밀떡굽기+보리밭 걷기+보리밭 땅집 체험 등,마을기업㈜연호,마을기업㈜연호,전라남도 해남군,061-530-5159,,,전라남도 해남군 황산면 연호길 73,전라남도 해남군 황산면 연호리 427,34.60203307,126.4840732,2025-07-11,4930000,전라남도 해남군
흑석산 힐링축제,계곡면 흑석산 자연휴양림 일원,2025-09-27,2025-09-27,개막식+어린이 사생대회+체험프로그램 등,계곡면축제추진위원회,계곡면축제추진위원회,해남군+해남군관광재단,061-531-3362,,,전라남도 해남군 계곡면 산골길 306,전라남도 해남군 계곡면 가학리 산1,34.67093844,126.6169987,2025-07-11,4930000,전라남도 해남군
2025 남원 국제드론제전 with 로봇,남원종합스포츠타운,2025-10-16,2025-10-19,드론·로봇 스포츠 대회+드론·로봇 전시체험 & 컨퍼런스+드론공연 체험 & 페스티벌+남원 글로벌 푸드 페스티벌,전북특별자치도 남원시,전북특별자치도 남원시,,063-620-6694,https://www.nwexpo.net/,,전북특별자치도 남원시 충정로 341 춘향골체육공원,전북특별자치도 남원시 월락동 248,35.43082071,127.4054147,2025-07-01,4701000,전북특별자치도 남원시
제29회 무주반딧불축제,등나무운동장,2025-09-06,2025-09-14,환경탐사+체험 판매 등 상설행사+문화예술행사,(사)무주반딧불축제제전위원회,전북특별자치도 무주군청,,063-320-2537,https://www.firefly.or.kr/,반디랜드+태권도원+한풍루,전북특별자치도 무주군 무주읍 한풍루로 326-14,전북특별자치도 무주군 무주읍 당산리 1118,36.00262216,127.6614905,2025-07-15,4741000,전북특별자치도 무주군
달마고도 힐링걷기,해남군 미황사+해남군 일원,2025-03-15,2025-04-05,달마고도순례길걷기+무대행사+체험등,전라남도 해남군청,전라남도 해남군청,전라남도 해남군청,061-530-5159,www.haenam.go.kr,,전라남도 해남군 송지면 미황사길 164,전라남도 해남군 송지면 서정리 1,34.38223237,126.5779589,2025-07-11,4930000,전라남도 해남군
땅끝수국축제,포레스트수목원,2025-06-14,2025-07-14,400여품종 등,포레스트수목원,포레스트 수목원,전라남도 해남군청,061-533-7220,www.4est수목원.com,,전라남도 해남군 현산면 봉동길 232-118,전라남도 해남군 현산면 황산리 산 1-4,34.44768726,126.5983744,2025-07-11,4930000,전라남도 해남군
명량대첩축제,해남군 우수영관광지+진도군 녹진관광지 일원,2025-09-19,2025-09-21,출정식+해전재현+공군에어쇼+조선수군재건+이순신리더십캠프 등,(재)명량대첩기념사업회,전라남도+전라남도 해남군청+전라남도 진도군청,대한민국해군+한국관광공사,061-530-5158,www.mldc.kr,,전라남도 해남군 문내면 관광레저로 12,전라남도 해남군 문내면 학동리 1021-3,34.57264529,126.3101488,2025-07-11,4930000,전라남도 해남군
해남미남축제,해남군 삼산면 두륜산도립공원 잔디구장 일원,2025-10-31,2025-11-02,공식행사(개·폐회식)+공연행사+전시·체험+음식·특산물 판매 등,해남군축제추진위원회,전라남도 해남군청,전라남도 해남군청,061-530-5158,www.해남미남축제.com,,전라남도 해남군 삼산면 대흥사길 400,전라남도 해남군 삼산면 구림리 799,34.47714315,126.6166308,2025-07-11,4930000,전라남도 해남군
해남 공룡대축제,해남 공룡박물관 일원,2025-05-03,2025-05-05,기념행사+공연행사+체험행사+부대행사 등,전라남도 해남군청,전라남도 해남군청,전라남도 해남군청,061-531-5158,www.haenam.go.kr,,전라남도 해남군 황산면 공룡박물관길 234,전라남도 해남군 황산면 우항리 191,34.58908375,126.4428347,2025-07-11,4930000,전라남도 해남군
해남 새봄 새김치 담그기 축제,우수영 관광지 일원,2025-03-08,2025-03-08,새봄 새김치 담그기 및 축제+풍물패 공연+강강술래 공연 등,해남새봄새김치담기축제추진위원회,해남새봄새김치담기축제추진위원회,전라남도 해남군청,061-530-5159,www.haenam.go.kr,,전라남도 해남군 문내면 관광레저로 12,전라남도 해남군 문내면 학동리 1021-3,34.57264529,126.3101488,2025-07-11,4930000,전라남도 해남군
두륜산 왕벚꽃나무 막걸리 축제,대흥사 입구 두륜산 도립공원쉼터,2025-04-05,2025-04-05,팔도 막걸리 시음회+경연 등,삼산면주민자치회,삼산면주민자치회,전라남도 해남군,061-531-3012,,,,전라남도 해남군 삼산면 구림리 206-1,34.49932158,126.6168498,2025-07-11,4930000,전라남도 해남군
광양매화축제,다압면 매화마을 일원,2025-03-07,2025-03-16,공연+경연+체험+전시+판매+부대행사,광양매화축제추진위원회,광양매화축제추진위원회,전라남도 광양시,061-797-2721,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,2025-06-20,4840000,전라남도 광양시
광양천년동백축제,옥룡사지 동백숲 일원,2025-04-05,2025-04-06,공연+경연+체험+전시+판매+부대행사,광양동백축제추진위원회,광양동백축제추진위원회,전라남도 광양시,061-797-4221,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥룡면 신재로 624,전라남도 광양시 옥룡면 운평리 262,35.01695051,127.6192703,2025-06-20,4840000,전라남도 광양시
백운산국사봉철쭉축제,옥곡면 국사봉 일원,2025-04-19,2025-04-20,공연+경연+체험+전시+판매+부대행사,백운산국사봉철쭉축제추진위원회,백운산국사봉철쭉축제추진위원회,전라남도 광양시,061-797-4233,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥곡면 옥진로 656,전라남도 광양시 옥곡면 신금리 1375-3,34.98960476,127.6985979,2025-06-20,4840000,전라남도 광양시
광양전어축제,진월면 망덕포구 일원,2025-08-01,2025-08-01,공연+경연+체험+전시+판매+부대행사,광양전어축제추진위원회,광양전어축제추진위원회,전라남도 광양시,061-797-3679,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,34.97164706,127.7587907,2025-06-20,4840000,전라남도 광양시
의견문화제,오수의견공원,2025-05-03,2025-05-05,반려동물 패션쇼+반려동물 토크쇼+반려동물 참여 및 체험프로그램+반려동물 산업박람회,의견문화제전위원회,의견문화제전위원회,전북특별자치도 임실군,063-642-5292,,,전북특별자치도 임실군 오수면 충효로 2096-16,전북특별자치도 임실군 오수면 오수리 33,35.54520247,127.3326779,2025-07-15,4761000,전북특별자치도 임실군
산타축제,임실치즈테마파크,2025-12-25,2025-12-28,산타 및 겨울 관련 공연 이벤트 체험행사 등,(재)임실치즈테마파크,(재)임실치즈테마파크,전북특별자치도+전북특별자치도 임실군,063-643-2300,www.cheesepark.kr,,전북특별자치도 임실군 성수면 도인2길 50,전북특별자치도 임실군 성수면 도인리 689,35.63310329,127.3012599,2025-07-15,4761000,전북특별자치도 임실군
임실N치즈축제,임실치즈테마파크,2025-10-08,2025-10-12,임실N치즈를 소재로한 다양한 볼거리+먹거리+체험행사,(재)임실N치즈축제 제전위원회,(재)임실N치즈축제 제전위원회,문체부+전북특별자치도+전북특별자치도 임실군,063-643-3900,www.imsilfestival.com,,전북특별자치도 임실군 성수면 도인2길 50,전북특별자치도 임실군 성수면 도인리 689,35.63310329,127.3012599,2025-07-15,4761000,전북특별자치도 임실군
옥정호 벚꽃축제,옥정호 출렁다리 앞 광장,2025-04-05,2025-04-06,임실 옥정호 벚꽃개화 시기 축하공연+체험행사+다양한 볼거리 먹거리 등,전북특별자치도 임실군청,전북특별자치도 임실군청,,063-640-4553,,,,전북특별자치도 임실군 운암면 입석리 409,35.6324266,127.1522078,2025-07-15,4761000,전북특별자치도 임실군
강진청자축제,대구면 고려청자요지 일원,2025-02-22,2025-03-03,1000년전 청자문화를 꽃피웠던 청자의 고장 강진에서 자연과 함께어우러져 강진청자의 아름다움과 섬세함을 느껴볼 수 있는 봄맞이 축제,강진군축제추진위원회,전라남도 강진군,,061-430-3354,http://www.gangjin.go.kr/culture/festival/celadon_porcelain,,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,34.50866041,126.8008375,2025-06-23,4920000,전라남도 강진군
전라병영성축제,전라병영성 일원,2025-04-18,2025-04-20,강진을 대한민국 호국정신 성지로 이어가는 역사교육 도시로 재탄생,강진군축제추진위원회,전라남도 강진군,,061-430-3352,http://www.gangjin.go.kr/culture/festival/byengyeongseong,,전라남도 강진군 병영면 병영성로 175,전라남도 강진군 병영면 성동리 320-8,34.7200428,126.8171424,2025-06-23,4920000,전라남도 강진군
강진수국길축제,강진 V랜드 공원,2025-06-27,2025-06-29,"강진읍 고성사, 금곡사, 보은사 등산로를 중심으로 총 8km달하는 수국 꽃길 관광 상품화",강진군축제추진위원회,전라남도 강진군,,061-430-3354,http://www.gangjin.go.kr/culture/festival/hydrangea,,전라남도 강진군 강진읍 고성길 174,전라남도 강진군 강진읍 남성리301-2,34.65238307,126.7625177,2025-06-23,4920000,전라남도 강진군
강진하맥축제,강진 종합운동장,2025-08-28,2025-08-30,네덜란드의 홉과 강진의 쌀귀리를 결합한 강진에서만 맛볼수 있는 하멜촌 맥주를 판매·홍보하여 경쟁력 제고 및 치맥과 공연을 즐길 수 있는 여름 축제로의 도약,강진군축제추진위원회,전라남도 강진군,,061-430-3357,http://www.gangjin.go.kr/culture/festival/hamelchon,,전라남도 강진군 군동면 종합운동장길 60,,34.64527283,126.781307,2025-06-23,4920000,전라남도 강진군
강진만 춤추는 갈대축제,강진만 생태공원 일원,2025-10-25,2025-11-02,"가을의 정취와 추억, 살아있는 생태, 어린이들의 놀이터를 제공하는 남도답사 1번지 이미지 창출과 갈대·음악·자연을 대표하는 명품 축제",강진군축제추진위원회,전라남도 강진군,,061-430-3358,http://www.gangjin.go.kr/culture/festival/gangjinman_reed,,전라남도 강진군 강진읍 남당로 97-23,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317,2025-06-23,4920000,전라남도 강진군
2025 제13회 군산시간여행축제,시간여행마을 일원,2025-10-09,2025-10-12,근대를 축으로 한 시간여행축제,전북특별자치도 군산시,전북특별자치도 군산시,,063-454-3302,http://festival.gunsan.go.kr/,주변관광지 : 군산근대역사박물관+초원사진관+동국사 등,전북특별자치도 군산시 중앙로 178,전북특별자치도 군산시 중앙로1가 11-1,35.98772627,126.711725,2025-07-30,4671000,전북특별자치도 군산시
2025 전주독서대전,전주한벽문화관 및 완판본문화관 일원,2025-09-05,2025-09-07,책 읽는 도시 글 쓰는 전주의 대한민국 최대 규모 책 축제,전북특별자치도 전주시 도서관산업과,전북특별자치도 전주시,한국출판문화산업진흥원+(사)전주시서점조합+(사)한국잡지협회,063-230-1858,http://jjbook.kr/,전주독서대전+한옥마을+객사+덕진공원+전주페스타 2025,전북특별자치도 전주시 완산구 천주천동로 20,전북특별자치도 전주시 완산구 교동 7-1,35.83122595,127.1200535,2025-05-12,4641000,전북특별자치도 전주시
2025 전주비빔밥축제,전주월드컵경기장,2025-10-24,2025-10-26,"시민화합의 장을 마련하고, 음식관광 상품화로 지역경제 활성화를 도모하는 유네스코 음식창의도시 전주 대표 음식축제",(사)문화상상온,전북특별자치도 전주시(청),전북특별자치도+문화체육관광부,063-281-2382,https://bibimbabfestival.com,전주비빔밥축제+전주페스타 2025+한옥마을+객사+전주월드컵경기장,전북특별자치도 전주시 덕진구 기린대로 1055,전북특별자치도 전주시 덕진구 반월동 763-1,35.86808495,127.0645027,2025-05-12,4641000,전북특별자치도 전주시
